Rank,learning_rate,batch_size,hidden_sizes,dropout,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
103,0.001,32,"[256, 128]",0.3,30,sgd,0.537880496054115,0.5680462995440196,0.5611081886726285,30,730278
104,0.0001,32,"[512, 256, 128]",0.1,20,adam,0.5845922585494175,0.5680462995440196,0.5612835349815887,20,1554086
105,0.005,64,"[256, 128]",0.2,30,sgd,0.5741074783915822,0.5659417748158541,0.5593547255830265,22,730278
106,0.001,32,"[256, 128]",0.2,30,sgd,0.5784291619691845,0.56436338126973,0.5581273014203051,30,730278
107,0.0005,128,"[256, 128]",0.1,15,adam,0.5656144306651635,0.5627849877236057,0.5595300718919867,15,730278
108,0.0005,128,"[1024, 512, 256, 128]",0.2,30,adam,0.5518602029312288,0.5624342336022449,0.5637383833070314,30,3463846
109,0.005,32,"[256, 128]",0.2,15,sgd,0.5172491544532131,0.561732725359523,0.5533929510783798,15,730278
110,0.001,64,"[256, 128]",0.2,15,adam,0.5454716272078166,0.561732725359523,0.5549710678590216,15,730278
111,0.0001,64,"[512, 256, 128]",0.3,30,adam,0.5280345734686208,0.5608558400561207,0.550061371208136,30,1554086
112,0.005,64,"[256, 128]",0.2,15,sgd,0.5376174370537392,0.5601543318133988,0.551814834297738,15,730278
113,0.005,128,"[256, 128]",0.2,20,sgd,0.5049605411499436,0.5585759382672746,0.554445028932141,20,730278
114,0.005,64,"[256, 128]",0.3,20,sgd,0.4888763622698234,0.5582251841459137,0.5609328423636682,20,730278
115,0.005,32,"[512, 256, 128]",0.2,20,sgd,0.510184141300263,0.5576990529638723,0.5444502893214098,20,1554086
116,0.001,32,"[512, 256, 128]",0.1,15,adam,0.5565201052236002,0.55682216766047,0.5521655269156585,15,1554086
117,0.001,128,"[256, 128]",0.2,20,adam,0.550695227358136,0.5566467905997895,0.5570752235665439,20,730278
118,0.0001,32,"[256, 128]",0.2,15,adam,0.48136039083051485,0.5555945282357068,0.5486586007364544,15,730278
119,0.0001,128,"[256, 128]",0.2,30,adam,0.4907553551296505,0.554542265871624,0.5433982114676486,30,730278
120,0.0005,64,"[1024, 512, 256, 128]",0.2,30,adam,0.5419015407741451,0.5536653805682217,0.5537436436963002,30,3463846
121,0.0005,128,"[256, 128]",0.3,20,adam,0.5045471627207817,0.5533146264468608,0.550061371208136,20,730278
122,0.005,128,"[512, 256, 128]",0.1,30,sgd,0.5606538895152199,0.5519116099614171,0.5474311765737331,30,1554086
123,0.005,32,"[1024, 512, 256, 128]",0.1,20,sgd,0.5716272078166102,0.5501578393546124,0.5551464141679817,20,3463846
124,0.001,128,"[256, 128]",0.2,15,adam,0.5127771514468245,0.5485794458084883,0.5426968262318078,15,730278
125,0.005,64,"[256, 128]",0.2,20,sgd,0.5830139045471627,0.5447211504735181,0.5423461336138874,20,730278
126,0.001,32,"[256, 128]",0.1,20,sgd,0.5437805336339722,0.5445457734128376,0.5398912852884447,20,730278
127,0.001,128,"[1024, 512, 256, 128]",0.1,20,adam,0.5307027433295753,0.5403367239565064,0.5372610906540417,20,3463846
128,0.005,128,"[256, 128]",0.3,30,sgd,0.5433671552048103,0.5399859698351456,0.5328774329300369,30,730278
129,0.0001,64,"[256, 128]",0.2,20,adam,0.46050357008643367,0.5343739038933707,0.5335788181658776,20,730278
130,0.001,128,"[256, 128]",0.3,30,adam,0.4939120631341601,0.5315678709224834,0.5398912852884447,30,730278
131,0.0001,64,"[256, 128]",0.1,20,adam,0.4679443818113491,0.5292879691336373,0.5209538839207435,20,730278
