Rank,learning_rate,batch_size,kernel_size,padding,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
76,0.005,128,3,0,15,sgd,0.9450958286358512,0.9619431778323395,0.9608977731018762,15,1310822
77,0.001,64,3,0,20,sgd,0.9350620067643743,0.9615924237109786,0.9591443100122743,20,1310822
78,0.001,128,5,1,15,adam,0.8266441187523488,0.9615924237109786,0.9605470804839558,15,1310822
79,0.001,32,5,0,30,sgd,0.9552799699361142,0.9614170466502981,0.960722426792916,18,1310822
80,0.001,64,3,0,15,adam,0.7368282600526118,0.9614170466502981,0.961599158337717,14,1310822
81,0.005,64,5,1,30,sgd,0.9601277715144683,0.9612416695896177,0.9637033140452393,17,1310822
82,0.0005,32,5,0,20,adam,0.8410372040586246,0.9612416695896177,0.9573908469226723,20,1310822
83,0.005,32,5,0,15,sgd,0.9597143930853063,0.9610662925289372,0.9608977731018762,15,1310822
84,0.001,32,5,1,15,sgd,0.9362645621946637,0.9610662925289372,0.9623005435735578,15,1310822
85,0.001,128,3,1,30,adam,0.8633596392333709,0.9608909154682568,0.9572155006137121,17,1310822
86,0.0001,64,5,0,20,adam,0.9151071025930101,0.9608909154682568,0.9638786603541996,20,1310822
87,0.001,128,5,0,15,adam,0.7876362269823375,0.9607155384075763,0.9612484657197966,15,1310822
88,0.0005,32,3,1,30,adam,0.796129274708756,0.9607155384075763,0.9591443100122743,19,1310822
89,0.0001,64,5,0,30,adam,0.946674182638106,0.9605401613468958,0.9617745046466772,29,1310822
90,0.0001,32,5,1,20,adam,0.9240135287485908,0.9603647842862154,0.9584429247764334,20,1310822
91,0.001,32,5,0,15,adam,0.8948891394212702,0.9601894072255349,0.9594950026301946,15,1310822
92,0.001,128,3,1,20,adam,0.8915069522735813,0.9601894072255349,0.962475889882518,19,1310822
93,0.0001,64,3,0,20,adam,0.9133784291619692,0.9601894072255349,0.9608977731018762,20,1310822
94,0.001,64,5,0,30,adam,0.9262683201803833,0.9600140301648544,0.9672102402244432,20,1310822
95,0.001,64,5,1,15,adam,0.7822998872604284,0.9600140301648544,0.9601963878660355,15,1310822
96,0.0005,32,5,1,20,sgd,0.9325817361894024,0.9600140301648544,0.9566894616868314,20,1310822
97,0.005,64,5,1,15,sgd,0.9524990605035701,0.9598386531041739,0.9591443100122743,15,1310822
98,0.0001,128,5,0,30,adam,0.9469372416384818,0.9596632760434936,0.9593196563212344,30,1310822
99,0.005,32,5,1,15,sgd,0.9622698233746712,0.9594878989828131,0.9575661932316325,15,1310822
100,0.001,32,3,1,20,sgd,0.9548290116497558,0.9594878989828131,0.9577415395405927,19,1310822
101,0.0005,128,5,0,15,adam,0.9219090567455843,0.9591371448614521,0.9573908469226723,13,1310822
102,0.005,128,5,0,15,sgd,0.9450582487786546,0.9589617678007717,0.9572155006137121,15,1310822
103,0.0001,32,3,0,20,adam,0.9473130402104472,0.9589617678007717,0.9579168858495528,20,1310822
104,0.0001,32,3,1,30,adam,0.9364148816234499,0.9589617678007717,0.9623005435735578,26,1310822
105,0.005,32,3,1,15,sgd,0.9606538895152198,0.9586110136794107,0.9600210415570752,15,1310822
106,0.0001,64,5,1,20,adam,0.8904171364148816,0.9586110136794107,0.9601963878660355,20,1310822
107,0.001,32,3,1,15,sgd,0.9450958286358512,0.9584356366187303,0.960722426792916,15,1310822
108,0.001,64,3,0,30,sgd,0.9464487034949267,0.9582602595580498,0.9582675784674732,25,1310822
109,0.0005,32,5,1,30,adam,0.8002254791431792,0.9582602595580498,0.9591443100122743,19,1310822
110,0.0005,64,5,0,20,adam,0.8899661781285231,0.9577341283760085,0.9591443100122743,20,1310822
111,0.0001,32,5,0,15,adam,0.8855693348365277,0.9577341283760085,0.9584429247764334,15,1310822
112,0.005,64,3,0,20,sgd,0.9706501315295002,0.957207997193967,0.9568648079957917,20,1310822
113,0.0001,32,3,1,15,adam,0.9075911311537016,0.957207997193967,0.9608977731018762,15,1310822
114,0.0001,64,5,0,15,adam,0.9037955655768508,0.957207997193967,0.9577415395405927,15,1310822
115,0.005,64,3,0,30,sgd,0.9617812852311162,0.9568572430726061,0.9584429247764334,18,1310822
116,0.0001,64,5,1,30,adam,0.9438181134911687,0.9568572430726061,0.9570401543047519,30,1310822
117,0.0005,32,3,1,20,sgd,0.9338594513340849,0.9566818660119256,0.9573908469226723,20,1310822
118,0.0001,128,3,1,20,adam,0.912251033446073,0.9566818660119256,0.9551113449061898,20,1310822
119,0.005,128,5,1,30,sgd,0.9732055618188651,0.9563311118905647,0.9556373838330703,28,1310822
120,0.001,64,5,1,30,sgd,0.9479143179255919,0.9559803577692038,0.9572155006137121,24,1310822
121,0.001,64,5,0,20,sgd,0.9359263434798948,0.9558049807085234,0.9573908469226723,20,1310822
